x,y,region2,region1,SIG_CD
128.0742609,37.74504907,홍천군,강원,42720
128.0770674,37.50914207,횡성군,강원,42730
128.500296,37.20411361,영월군,강원,42750
128.48259,37.55683921,평창군,강원,42760
128.7390632,37.37868629,정선군,강원,42770
127.3989244,38.23908523,철원군,강원,42780
127.6851657,38.13842628,화천군,강원,42790
128.0002064,38.17560879,양구군,강원,42800
128.2647272,38.06460026,인제군,강원,42810
128.4111555,38.36275363,고성군,강원,42820
128.5950086,38.00448634,양양군,강원,42830
127.5848802,36.59211242,청주시 상당구,충북,43111
127.4384007,36.54726305,청주시 서원구,충북,43112
127.3692749,36.64696076,청주시 흥덕구,충북,43113
127.4913176,36.72057891,청주시 청원구,충북,43114
127.8956623,37.01519694,충주시,충북,43130
128.1409593,37.05991183,제천시,충북,43150
127.7293357,36.48994959,보은군,충북,43720
127.6565589,36.32045611,옥천군,충북,43730
127.8142281,36.15965896,영동군,충북,43740
127.6046181,36.78647301,증평군,충북,43745
127.4404636,36.87099952,진천군,충북,43750
127.8295881,36.76965903,괴산군,충북,43760
127.6142068,36.97622261,음성군,충북,43770
128.3878416,36.99445276,단양군,충북,43800
127.2208946,36.76411722,천안시 동남구,충남,44131
127.1618094,36.89271067,천안시 서북구,충남,44133
127.0752191,36.47981976,공주시,충남,44150
126.594247,36.34024523,보령시,충남,44180
126.9800756,36.80731633,아산시,충남,44200
126.4636016,36.78399346,서산시,충남,44210
127.1577164,36.19088691,논산시,충남,44230
127.2344266,36.2915937,계룡시,충남,44250
126.6527445,36.90325778,당진시,충남,44270
127.4783119,36.11900081,금산군,충남,44710
126.8569676,36.2463839,부여군,충남,44760
126.7079805,36.10517212,서천군,충남,44770
126.8531131,36.43058296,청양군,충남,44790
126.6258536,36.57009431,홍성군,충남,44800
126.7843109,36.67062867,예산군,충남,44810
126.2809571,36.7036613,태안군,충남,44825
127.1195036,35.79209428,전주시 완산구,전북,45111
127.1129157,35.85870118,전주시 덕진구,전북,45113
126.7260152,35.95043894,군산시,전북,45130
126.9895102,36.02310555,익산시,전북,45140
126.9058575,35.60262466,정읍시,전북,45180
