"","region1","region2","region","cases","week","year","x","y","SIG_CD"
"68","강원","강릉시","강원-강릉시",0,37,2025,128.8323789,37.70910197,42150
"69","강원","강릉시","강원-강릉시",0,38,2025,128.8323789,37.70910197,42150
"70","강원","강릉시","강원-강릉시",0,39,2025,128.8323789,37.70910197,42150
"71","강원","강릉시","강원-강릉시",0,40,2025,128.8323789,37.70910197,42150
"72","강원","강릉시","강원-강릉시",0,1,2024,128.8323789,37.70910197,42150
"73","강원","강릉시","강원-강릉시",0,2,2024,128.8323789,37.70910197,42150
"74","강원","강릉시","강원-강릉시",0,3,2024,128.8323789,37.70910197,42150
"75","강원","강릉시","강원-강릉시",0,4,2024,128.8323789,37.70910197,42150
"76","강원","강릉시","강원-강릉시",0,5,2024,128.8323789,37.70910197,42150
"77","강원","강릉시","강원-강릉시",0,6,2024,128.8323789,37.70910197,42150
"78","강원","강릉시","강원-강릉시",0,7,2024,128.8323789,37.70910197,42150
"79","강원","강릉시","강원-강릉시",0,8,2024,128.8323789,37.70910197,42150
"80","강원","강릉시","강원-강릉시",0,9,2024,128.8323789,37.70910197,42150
"81","강원","강릉시","강원-강릉시",0,10,2024,128.8323789,37.70910197,42150
"82","강원","강릉시","강원-강릉시",0,11,2024,128.8323789,37.70910197,42150
"83","강원","강릉시","강원-강릉시",0,38,2024,128.8323789,37.70910197,42150
"84","강원","강릉시","강원-강릉시",0,39,2024,128.8323789,37.70910197,42150
"85","강원","강릉시","강원-강릉시",1,40,2024,128.8323789,37.70910197,42150
"86","강원","강릉시","강원-강릉시",1,41,2024,128.8323789,37.70910197,42150
"87","강원","강릉시","강원-강릉시",0,42,2024,128.8323789,37.70910197,42150
"88","강원","강릉시","강원-강릉시",1,43,2024,128.8323789,37.70910197,42150
"89","강원","강릉시","강원-강릉시",0,44,2024,128.8323789,37.70910197,42150
"90","강원","강릉시","강원-강릉시",0,32,2024,128.8323789,37.70910197,42150
"91","강원","강릉시","강원-강릉시",0,33,2024,128.8323789,37.70910197,42150
"92","강원","강릉시","강원-강릉시",0,34,2024,128.8323789,37.70910197,42150
"93","강원","강릉시","강원-강릉시",0,35,2024,128.8323789,37.70910197,42150
"94","강원","강릉시","강원-강릉시",0,36,2024,128.8323789,37.70910197,42150
"95","강원","강릉시","강원-강릉시",0,37,2024,128.8323789,37.70910197,42150
"96","강원","강릉시","강원-강릉시",1,46,2024,128.8323789,37.70910197,42150
"97","강원","강릉시","강원-강릉시",0,45,2024,128.8323789,37.70910197,42150
"98","강원","고성군","강원-고성군",0,8,2025,128.4111555,38.36275363,42820
"99","강원","고성군","강원-고성군",0,9,2025,128.4111555,38.36275363,42820
"100","강원","고성군","강원-고성군",0,7,2025,128.4111555,38.36275363,42820
"101","강원","고성군","강원-고성군",0,12,2025,128.4111555,38.36275363,42820
"102","강원","고성군","강원-고성군",0,13,2025,128.4111555,38.36275363,42820
