"","region","R0","I0","rho"
"1","강원-원주시",15.9551342662928,0.000112458429673799,0.0129728415004565
"2","경기-고양시 덕양구",15.267403332659,0.000101845509561841,0.00755190943996954
"3","경기-고양시 일산동구",16.1847569778968,5.16423982612278e-05,0.0150734118137371
"4","경기-광명시",16.6146838581328,2.19720220269884e-05,0.0117872650369886
"5","경기-광주시",14.3820953682692,0.000272582440670412,0.0149051982976225
"6","경기-김포시",17.6361618666469,0.000107480963453037,0.0195995712634879
"7","경기-남양주시",14.6500974243875,0.000269937491715221,0.012847546346788
"8","경기-성남시 분당구",19.0731831826814,6.44754914884709e-05,0.0102385954367977
"9","경기-시흥시",15.448551427312,0.000132289948089874,0.0141856358640175
"10","경기-안산시 상록구",22.1937684748444,8.07010498084065e-05,0.0121318596909786
"11","경기-안양시 동안구",17.648913608928,6.48345803660954e-05,0.017331899602297
"12","경기-오산시",17.5086815603832,3.98650208057325e-05,0.0239437316106076
"13","경기-파주시",14.603819667729,0.000217329523427232,0.0120452724379301
"14","경기-평택시",16.0495902742161,9.02331276186908e-05,0.00760242679440734
"15","경기-하남시",17.4058718259487,6.92307807182901e-05,0.0113615204740217
"16","경기-화성시",16.6010476294391,0.000111517912770752,0.00927726268998728
"17","경남-김해시",15.0333838042467,8.25158242672931e-05,0.0109758940104593
"18","경남-창원시 마산회원구",9.71690332219141,0.00226250703278172,0.0348216670178778
"19","경북-구미시",19.3641579168888,0.000110483597526563,0.0130890742265761
"20","대구-달서구",17.0513761424922,3.82234870081497e-05,0.00814562853165263
"21","대구-달성군",19.0568658581064,6.71872461576497e-06,0.0165314484612251
"22","대구-동구",14.979676844208,8.27341996579176e-05,0.0110470039472138
"23","대구-수성구",17.9801055269937,7.35156242404311e-06,0.0121696972270082
"24","대전-서구",16.293546457505,0.00014734454359131,0.010654788237644
"25","부산-부산진구",18.9261483049789,7.10209850844933e-06,0.00829516054432858
"26","부산-사하구",17.0080558846033,0.000165219300450709,0.0119932891020015
"27","서울-강남구",17.2852770675377,8.13739818278874e-05,0.00816862543344649
"28","서울-강서구",18.8770252312432,5.7665878553141e-05,0.00580123784204477
"29","서울-노원구",19.5458487135427,0.000126453519674176,0.0112378846966971
"30","서울-서초구",17.2233504443106,4.04836907360023e-05,0.00757571548307432
"31","서울-송파구",17.8689849404407,3.53707660346913e-05,0.00616803149326638
"32","서울-양천구",20.3499151661069,3.04411998031501e-05,0.00852434801495921
"33","세종-세종시",16.4580625337615,7.09216289704103e-06,0.0127149135841562
"34","인천-미추홀구",17.9209822612938,0.000124606725164243,0.0135066185724063
"35","인천-부평구",15.0985734863633,0.000306752721482181,0.0115075453267933
"36","인천-서구",17.1822075109084,0.000148198536049313,0.0173506047889872
"37","인천-연수구",17.2456716900502,8.09875231724389e-05,0.013203372179382
"38","전남-여수시",20.1564832943356,8.7198734236346e-05,0.0144720655877143
"39","전북-군산시",15.6851785234136,0.000120353270627354,0.0143413758691776
"40","전북-익산시",16.8269491731004,0.000190801346322109,0.0165875826807118
"41","제주-제주시",16.6877536875133,0.000175458890585234,0.0167447916863979
"42","충남-천안시 서북구",16.8968576809092,1.64165180119653e-05,0.0121284154955597
